chembl_id,name,smiles,first_approval
CHEMBL468,Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1956.0
CHEMBL469,Ketorolac,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,1989.0
CHEMBL471,Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,1992.0
CHEMBL472,Glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1984.0
CHEMBL9225,Hexestrol,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,
CHEMBL473,Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,1999.0
CHEMBL476,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,1975.0
CHEMBL477,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1989.0
CHEMBL479,Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1962.0
CHEMBL480,Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,1995.0
CHEMBL481,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1996.0
CHEMBL70,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1984.0
CHEMBL485,Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,1952.0
CHEMBL71,Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1957.0
CHEMBL72,Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,1964.0
CHEMBL488,Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,1980.0
CHEMBL74,Cromolyn Sodium,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],1982.0
CHEMBL76,Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1949.0
CHEMBL490,Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1992.0
CHEMBL416146,Etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,
CHEMBL79,Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,1948.0
CHEMBL9967,Pirenzepine,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,
CHEMBL492,Etidocaine,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,1976.0
CHEMBL80,Naloxone,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1971.0
CHEMBL81,Raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1997.0
CHEMBL83,Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1977.0
CHEMBL493,Bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,1978.0
CHEMBL494,Iloprost,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,2003.0
CHEMBL84,Topotecan,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,1996.0
CHEMBL85,Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,1993.0
CHEMBL428880,Cromolyn,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,1982.0
CHEMBL86,Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1979.0
CHEMBL428647,Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1992.0
CHEMBL495,Alprostadil,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,1981.0
CHEMBL496,Hexachlorophene,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1949.0
CHEMBL497,Clioquinol,Oc1c(I)cc(Cl)c2cccnc12,1934.0
CHEMBL10878,Agomelatine,COc1ccc2cccc(CCNC(C)=O)c2c1,2009.0
CHEMBL88,Cyclophosphamide Anhydrous,O=P1(N(CCCl)CCCl)NCCCO1,1959.0
